"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"IDC-Header_2x06_P2.54mm_Vertical";1;"Conn_01x12";;;
2;"R66,R67,R43,R15,R13,R6,R47,R76,R78,R72,R16,R8,R69,R35,R14,R70,R37,R44,R42,R39,R11,R73,R40,R79,R65,R5,R10,R36,R68,R77,R33,R1,R4,R45,R7,R41,R9,R74,R2,R12,R48,R34,R38,R46,R71,R75,R80,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";48;"750";;;
3;"D51,D26,D77,D22,D25,D95,D30,D54,D58,D93,D86,D96,D87,D21,D56,D24,D31,D18,D59,D19,D60,D90,D63,D64,D32,D55,D84,D53,D23,D14,D80,D88,D52,D89,D75,D61,D29,D57,D27,D28,D91,D94,D50,D92,D62,D85,D49,D20";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";48;"LED";;;
4;"D66,D36,D1,D41,D43,D15,D17,D12,D82,D67,D83,D78,D65,D8,D70,D79,D6,D5,D9,D68,D81,D2,D35,D44,D47,D48,D16,D76,D72,D7,D71,D37,D10,D40,D74,D33,D3,D4,D69,D34,D13,D46,D42,D45,D38,D11,D39,D73";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";48;"D_Photo";;;
5;"R63,R58,R56,R23,R21,R19,R90,R61,R22,R25,R20,R87,R55,R94,R32,R85,R59,R28,R24,R60,R82,R31,R52,R83,R50,R30,R95,R96,R62,R64,R81,R26,R92,R91,R17,R84,R54,R27,R29,R86,R51,R89,R93,R18,R53,R49,R57,R88";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";48;"14k";;;
6;"U4,U1,U3,U6,U5,U2";"SOIC16-N_MC_MCH-L";6;"MCP3008";;;
7;"R97,R98,R99,R101,R100,R102";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10K";;;
